"","created_at","username","profile_image_url","protected","verified","id","name","public_metrics.followers_count","public_metrics.following_count","public_metrics.tweet_count","public_metrics.listed_count","description","entities","location","url","pinned_tweet_id"
"1","2014-06-15T14:22:09.000Z","Killuminati_37","https://pbs.twimg.com/profile_images/1251827637242265600/GF6_B9v1_normal.jpg",FALSE,FALSE,"2569122601","ToMeK 🇵🇱",    2351,    1714,    8453,       6,"Wolność zaczyna się tam, gdzie kończy strach.

Amor patriae nostra lex.",NA,NA,NA,NA
"2","2016-08-29T07:24:29.000Z","antynazista","https://pbs.twimg.com/profile_images/1606896144403107840/YyrVg_gA_normal.jpg",FALSE,TRUE,"770160173897875456","AntyNazista 🇵🇱",    3766,    4135,    3708,      45,"",NA,"Warszawa, Polska",NA,NA
"3","2022-04-22T08:57:12.000Z","Siwus_ns","https://pbs.twimg.com/profile_images/1612774889072492546/HpMODhEb_normal.jpg",FALSE,FALSE,"1517427026302582784","Krzysztof",      44,     252,   12808,       0,"",NA,NA,NA,NA
"4","2009-07-04T01:05:53.000Z","Likaifen","https://pbs.twimg.com/profile_images/1582018898274271232/83A4H9p5_normal.jpg",FALSE,FALSE,"53552929","Renata Inokomis",    1669,    2338,   82527,       8,"#StopUkrainizacjiPolski
#StopBanderyzacjiPolski
#ŻebyPolskaByłaPolska",NA,"Beijing",NA,NA
"5","2009-05-26T13:46:48.000Z","rafalhubert","https://pbs.twimg.com/profile_images/1500807598630739970/tTVd8DeT_normal.jpg",FALSE,FALSE,"42626710","Rafał Otoka Frąckiewicz",   44499,    1530,   94907,     181,"Publicysta Lewicowy. Co dzień bliżej nieba 🇵🇱🇻🇦🇮🇱🇪🇺🏳️‍🌈🏴‍☠️",NA,"poland","https://t.co/X7tudmht75","1505105932249964544"
"6","2009-07-17T12:10:07.000Z","PremierRP","https://pbs.twimg.com/profile_images/1581918132641435648/-QbZQid0_normal.jpg",FALSE,TRUE,"57626153","Kancelaria Premiera",  727123,     706,   61836,    1225,"Oficjalny profil Kancelarii Prezesa Rady Ministrów. 🇬🇧 English: @PremierRP_en 📰 Komunikaty CIR: @KPRM_CIR",NA,"Warsaw","https://t.co/SmDIsWxQtI","1658125585497899010"
"7","2012-01-22T13:54:05.000Z","9_pas_Nostromo","https://pbs.twimg.com/profile_images/1613113591648997377/5Bz6Yhvm_normal.jpg",FALSE,FALSE,"471092452","9 pasażerka Nostromo 👽 PolskaToNieUkroPolin",    1038,      80,   20083,      15,"Nie liczę na żadnego polityka i nie wierzę, że interesują go moje bezpieczeństwo, dobrobyt, szczęście. Myślę, że interesuje go władza, a władza deprawuje",NA,NA,NA,"1650420061801181188"
"8","2021-11-10T08:59:48.000Z","PatrolNocny","https://pbs.twimg.com/profile_images/1582801740830842881/Fitn-_zm_normal.jpg",FALSE,FALSE,"1458358515844755456","Nocny Patrol",     422,     489,   20182,      10,"🙈Przyjdą takie czasy, że ludzie będą szaleni i gdy zobaczą kogoś przy zdrowych zmysłach, powstaną przeciw niemu mówiąc: Jesteś szalony, bo nie jesteś do nas ..",NA,NA,NA,NA
"9","2022-01-30T18:09:58.000Z","Joaska07","https://pbs.twimg.com/profile_images/1507769292485541903/sZFV9pjB_normal.jpg",FALSE,FALSE,"1487850474921512960","Joaska",     326,     993,    3148,       0,"",NA,NA,NA,NA
"10","2019-02-03T09:52:44.000Z","KemotChlapur","https://pbs.twimg.com/profile_images/1662509159173050369/VPBYSXT5_normal.jpg",FALSE,FALSE,"1091997908399022080","Kemot",     314,     835,    3888,       1,"🇵🇱🦅🇵🇱 może się mylę, może  nie jestem ideałem ale nikogo za srebrniki nie sprzedałem...",NA,"Oslo, Norway",NA,"1327952830129385472"
