"","x"
"1","1652441975356784642"
"2","1652440257688682500"
"3","1652418738614939651"
"4","1652387277509648388"
"5","1652384668719644675"
"6","1652384397390143488"
"7","1652272336140218369"
"8","1652376523406553090"
"9","1652368672701272067"
"10","1652363620070694913"
"11","1652338391856345091"
"12","1652316895012429827"
"13","1652316703169159171"
"14","1652316555185627138"
"15","1652315151071170562"
"16","1652314982237741057"
"17","1652313142314127366"
"18","1652312793113034755"
"19","1652311300712681475"
"20","1652311103836176384"
"21","1652310909115662336"
"22","1652299875046785025"
"23","1652299390126530560"
"24","1652247369667289088"
"25","1652297840935174144"
"26","1652297091715088386"
"27","1652295561108701186"
"28","1652294936308457473"
"29","1652286018253475840"
"30","1652282592060751873"
"31","1652278628292472837"
"32","1652277694057291779"
"33","1652276664494088192"
"34","1652255742206803974"
"35","1652271393151614976"
"36","1651235934644367362"
"37","1652259011016704003"
"38","1652263793043337222"
"39","1652262299728486400"
"40","1652259847969157122"
"41","1652249811637227520"
"42","1652238959030812673"
"43","1652234389135278081"
"44","1652230485790130177"
"45","1652212520940187651"
"46","1652211383872651266"
"47","1652211107749085186"
"48","1652203226404622336"
"49","1652193679996596225"
"50","1652180802229157889"
"51","1652179163057455105"
"52","1652159817941762048"
"53","1652158978481070085"
"54","1652146558303969280"
"55","1652142738068914176"
"56","1652113518366425088"
"57","1652092845241561088"
"58","1652079216869924864"
"59","1652078303983947777"
"60","1652074509887848448"
"61","1652074209978249218"
"62","1652073526222782465"
"63","1652063779977326599"
"64","1652061458987900928"
"65","1652061004161773571"
"66","1652030279006162944"
"67","1652050404937482241"
"68","1652042297691742236"
"69","1652041519107284992"
"70","1652038126670426112"
"71","1652033118008758273"
"72","1652030647731474438"
"73","1652029033939361792"
"74","1652028226049286149"
"75","1652026106042523667"
"76","1652025343786602496"
"77","1652023740098592778"
"78","1652022984922546188"
"79","1652018344516567057"
"80","1652011283439337475"
"81","1652009801629483106"
"82","1651886394564911104"
"83","1652001302111563808"
"84","1651993869486108688"
"85","1651992932436652032"
"86","1651992503619407872"
"87","1651991553521463301"
"88","1651991064079740929"
"89","1651984015136636930"
"90","1651983215245049857"
"91","1651983180101025792"
"92","1651981635238109186"
"93","1651976547551653889"
"94","1651975298550751232"
"95","1651972810095353856"
"96","1651969101349154819"
"97","1651963836398809088"
"98","1651961211347410944"
"99","1651957660374237184"
"100","1651956271581364230"
"101","1651949224479674372"
"102","1651948555957854208"
"103","1651947190925905925"
"104","1651937705930915842"
"105","1651935165961125888"
"106","1651934534621904898"
"107","1651931842671460354"
"108","1651886394564911104"
"109","1651918374669099008"
"110","1651917312469921793"
"111","1651917199781527553"
"112","1651917150943150080"
"113","1651914791303217153"
"114","1651914443414970368"
"115","1651913593707720704"
"116","1651913516549304322"
"117","1651913407061188608"
"118","1651911725434691588"
"119","1651911582127890435"
"120","1651910889556066304"
